ubbContent,capacity,time,floor,type,pasterid,secret,signature,htmlContent,effect,content,nick,bmp,pubtime,modifytime,uin,nickname,id
heheheheheh,5962,,742,0,,0,,heheheheheh,0,,,98d595840840a201,2017/10/8 0:17,0,376976240,骑行小蜗游,1000050521
"我所说的话，是顺着原有的思维方式产生的，即使可以去修饰，去思考，其本源的思维方式并不会变。。我在沟通交流方面，无法做的像别人一样自然而然，我也时常在思考，是否也要像别人一样交际，但，我可能能模仿出那些动作，但思维却总是跟不上，有时，甚至动作都模拟不出来。。但这并不是一件坏事，这恰恰是最真实的自己。。性格无好坏，只是不同的性格，将会过不同的生活。。。
我总是一副与世无争的样子，可是我越来越看中胜利了，比如打个篮球，我有时候会把赢球看得比锻炼身体都重要；打个羽毛球，打个游戏，也是；即使现在的水平可能没有他们那么屌，但我愿意在能力范围内做最大的拼搏，而不是只是锻炼身体这个级别。。是的，我以前似乎没有这么渴望胜利。。亦或许是以前参与这些活动时，并没有激发出我内心的斗志吧。。噢，不，我记得大学时，有两场篮球是我特别想赢的比赛，是的，那两场球我真的已经将我的个人实力发挥到了极致，可是那两场球都输了。。。
思维很乱，不知道在写些什么。。。。。
今天相亲，相亲的对象值得聊下去，但长时间的和程序打交道，似乎让我忘记了如何更好的跟妹子交流了。我似乎在刻意着展示着自己，却又不是那么自然~  也是，本来就是初次见面，一切都显得很尴尬，我又不是那种交际花的性格，找不到太多可聊的话题。。我甚至还在害怕，万一遇到一个自己还比较喜欢的人，都不知道怎么去爱了。。",4830,,741,0,,0,,我所说的话，是顺着原有的思维方式产生的，即使可以去修饰，去思考，其本源的思维方式并不会变。。我在沟通交流方面，无法做的像别人一样自然而然，我也时常在思考，是否也要像别人一样交际，但，我可能能模仿出那些动作，但思维却总是跟不上，有时，甚至动作都模拟不出来。。但这并不是一件坏事，这恰恰是最真实的自己。。性格无好坏，只是不同的性格，将会过不同的生活。。。\u003Cbr  \/>我总是一副与世无争的样子，可是我越来越看中胜利了，比如打个篮球，我有时候会把赢球看得比锻炼身体都重要；打个羽毛球，打个游戏，也是；即使现在的水平可能没有他们那么屌，但我愿意在能力范围内做最大的拼搏，而不是只是锻炼身体这个级别。。是的，我以前似乎没有这么渴望胜利。。亦或许是以前参与这些活动时，并没有激发出我内心的斗志吧。。噢，不，我记得大学时，有两场篮球是我特别想赢的比赛，是的，那两场球我真的已经将我的个人实力发挥到了极致，可是那两场球都输了。。。\u003Cbr  \/>思维很乱，不知道在写些什么。。。。。\u003Cbr  \/>今天相亲，相亲的对象值得聊下去，但长时间的和程序打交道，似乎让我忘记了如何更好的跟妹子交流了。我似乎在刻意着展示着自己，却又不是那么自然~&nbsp;&nbsp;也是，本来就是初次见面，一切都显得很尴尬，我又不是那种交际花的性格，找不到太多可聊的话题。。我甚至还在害怕，万一遇到一个自己还比较喜欢的人，都不知道怎么去爱了。。,0,,,98d595840840a201,2017/10/4 1:25,0,376976240,骑行小蜗游,1000050519
"我们的老板是我见过的最有爱和务实的老板。。因为老板是办公室恋情结婚的，所以他很鼓励员工之间恋爱；员工结婚纪念日可以给你放半天假，你需要申请一天也不会扣钱，因为老板说，我们努力工作就是为了我们所爱的人，公司旅游一定让你带家属，即使这个成本很高；其它的所有福利，都源自于老板觉得。。老板觉得员工要保持身体健康，就有了篮球，羽毛球，健身福利；老板觉得人到中年，牙齿很重要，就和牙科医院签约，给员工看牙，老板觉得做饭麻烦，就有了每日中餐。。总之还有许多老板觉得。。老板说年终会要记住每个员工出生年月日，记不住自掏腰包发1W红包。。
公司愿景，做给予幸福感的企业~",5302,1507049493,740,0,,0,,我们的老板是我见过的最有爱和务实的老板。。因为老板是办公室恋情结婚的，所以他很鼓励员工之间恋爱；员工结婚纪念日可以给你放半天假，你需要申请一天也不会扣钱，因为老板说，我们努力工作就是为了我们所爱的人，公司旅游一定让你带家属，即使这个成本很高；其它的所有福利，都源自于老板觉得。。老板觉得员工要保持身体健康，就有了篮球，羽毛球，健身福利；老板觉得人到中年，牙齿很重要，就和牙科医院签约，给员工看牙，老板觉得做饭麻烦，就有了每日中餐。。总之还有许多老板觉得。。老板说年终会要记住每个员工出生年月日，记不住自掏腰包发1W红包。。\u003Cbr  \/>公司愿景，做给予幸福感的企业~,32,恩，我觉得我被洗脑成功了。但是老板说出，我们努力工作就是为了我们所爱的人，我觉得我选择了这家公司没错~,骑行小蜗游,98d595840840a201,2017/9/27 14:47,0,376976240,骑行小蜗游,1000050518
我觉得我真的要好好学习下如何和妹子打交道。。这真是我要好好学习的一门课程，我真是太耿直了。,5883,,739,0,,0,,我觉得我真的要好好学习下如何和妹子打交道。。这真是我要好好学习的一门课程，我真是太耿直了。,0,,,98d595840840a201,2017/7/20 22:48,0,376976240,骑行小蜗游,1000050517
游哥，放轻松~,5960,,738,0,,0,,游哥，放轻松~,0,,,188095a10002e101,2017/7/19 9:51,0,371312563,明明,1000050516
高薪之下，暗流涌动~看似轻松，实则压力不小。。毕竟是小的私企，必须尽快找到自己的价值~！,5887,,737,0,,0,,高薪之下，暗流涌动~看似轻松，实则压力不小。。毕竟是小的私企，必须尽快找到自己的价值~！,0,,,98d595840840a201,2017/7/18 18:50,0,376976240,骑行小蜗游,1000050515
是的，一个人生活久了，真的会得病！！！,5935,,736,0,,0,,是的，一个人生活久了，真的会得病！！！,4194304,,,98d595840840a201,2017/7/3 23:28,0,376976240,骑行小蜗游,1000050514
我觉得我有必要去做一些自己感觉的对不起别人的事。,5925,,735,0,,0,,我觉得我有必要去做一些自己感觉的对不起别人的事。,4194304,,,98d595840840a201,2017/7/3 21:36,0,376976240,骑行小蜗游,1000050513
接下来的时间也不能清闲，该做的事情继续做，该学的技术继续学，该写的文档继续写，不能因此松懈，更不能因此过于骄傲！,5861,,734,0,,0,,接下来的时间也不能清闲，该做的事情继续做，该学的技术继续学，该写的文档继续写，不能因此松懈，更不能因此过于骄傲！,4194304,,,98d595840840a201,2017/6/13 23:12,0,376976240,骑行小蜗游,1000050512
是的，有些事情，我真的需要慎重~！急不来的。,5930,,733,0,,0,,是的，有些事情，我真的需要慎重~！急不来的。,0,,,98d595840840a201,2017/6/10 10:46,0,376976240,骑行小蜗游,1000050511
