留言板内容,capacity,time,楼层,type,pasterid,secret,signature,htmlContent,effect,回复内容,回复者,bmp,留言发布时间,modifytime,留言者QQ号,留言者姓名,留言ID
温柔，体己。,5961,,801,0,,0,,温柔，体己。,4194304,,,188095a10002e101,2017/9/21 11:21,0,371312563,明明,1000050253
把幼稚作资本，把无知当个性。,5945,,800,0,,0,,把幼稚作资本，把无知当个性。,0,,,188095a10002e101,2017/9/19 15:39,0,371312563,明明,1000050252
尽人事，知天命，看来只能随缘了~不过也应该自己吸取教训~,5919,,799,0,,0,,尽人事，知天命，看来只能随缘了~不过也应该自己吸取教训~,0,,,188095a10002e101,2017/7/19 9:49,0,371312563,明明,1000050251
值得，舍得,5963,,798,0,,0,,值得，舍得,4194304,,,188095a10002e101,2017/7/4 10:29,0,371312563,明明,1000050250
道理我都懂，鸡汤我也喝，傻逼还是我,5939,,797,0,,0,,道理我都懂，鸡汤我也喝，傻逼还是我,4194304,,,188095a10002e101,2017/7/3 2:12,0,371312563,明明,1000050249
不离不弃，生死相依。,5953,,796,0,,0,,不离不弃，生死相依。,0,,,188095a10002e101,2017/6/29 13:24,0,371312563,明明,1000050248
喜怒不形于色，好恶不言于表，悲欢不溢于面，死生不从于天。,5917,,795,0,,0,,喜怒不形于色，好恶不言于表，悲欢不溢于面，死生不从于天。,4194304,,,188095a10002e101,2017/6/16 11:13,0,371312563,明明,1000050247
依旧喜欢红豆豆花，微甜。,5949,,794,0,,0,,依旧喜欢红豆豆花，微甜。,4194304,,,188095a10002e101,2017/6/6 20:01,0,371312563,明明,1000050246
好看的皮囊很多，有趣的灵魂太少。,5941,,793,0,,0,,好看的皮囊很多，有趣的灵魂太少。,0,,,188095a10002e101,2017/6/5 14:13,0,371312563,明明,1000050245
感情的债是守恒的，你伤过的心，会回来。,5935,,792,0,,0,,感情的债是守恒的，你伤过的心，会回来。,4194304,,,188095a10002e101,2017/5/8 21:55,0,371312563,明明,1000050244
从初中开始喜欢地理，最喜欢翻的就是一本本的地图册，这就是我认识这个世界的方式。以后我的家里也要挂上一大幅。,5867,,791,0,,0,,从初中开始喜欢地理，最喜欢翻的就是一本本的地图册，这就是我认识这个世界的方式。以后我的家里也要挂上一大幅。,0,,,188095a10002e101,2017/4/30 8:01,0,371312563,明明,1000050243
两情若是长久时，又岂在朝朝暮暮。,5941,,790,0,,0,,两情若是长久时，又岂在朝朝暮暮。,4194304,,,188095a10002e101,2017/4/25 13:50,0,371312563,明明,1000050241
原来老司机是练出来的~~,5893,1492824099,789,0,,0,,原来老司机是练出来的~~,4194336,[em]e251[\/em][em]e251[\/em][em]e251[\/em],明明,18d1950002008101,2017/4/22 9:19,0,1339861015,露露,1000050240
"昨晚教中通快递老板用PS,天南地北的胡乱聊了很多。早早睡下，其实生活很多。",5902,,788,0,,0,,"昨晚教中通快递老板用PS,天南地北的胡乱聊了很多。早早睡下，其实生活很多。",4194304,,,188095a10002e101,2017/3/16 9:35,0,371312563,明明,1000050239
今天惊蛰，准时来了雷雨，\u003C易>书有云，大壮，利贞。遂感慨天地间万物萌动，一切皆在酝酿。,5883,,787,0,,0,,今天惊蛰，准时来了雷雨，&lt;易&gt;书有云，大壮，利贞。遂感慨天地间万物萌动，一切皆在酝酿。,4194304,,,188095a10002e101,2017/3/5 17:20,0,371312563,明明,1000050238
偶感:就算你化再浓的妆也掩盖不了你的美！,5934,,786,0,,0,,偶感:就算你化再浓的妆也掩盖不了你的美！,4194304,,,188095a10002e101,2016/11/9 0:03,0,371312563,明明,1000050237
"为何要删除留言呢？过个一段时间再来看当时写过的东西，还是会有另外一种感受的勒。。晚安~！
[quote]引自：明明  于 2016-11-06 13:06:19 发表的留言
引用内容：

留言板已经成了不再敢写东西的地方，因为留言也不知道从哪里开始删起，更不知道下一条留言要从哪里开始写起。[\/quote]",5706,,785,0,,0,,为何要删除留言呢？过个一段时间再来看当时写过的东西，还是会有另外一种感受的勒。。晚安~！\u003Cbr  \/>\u003Cdiv class=\u0022comment_quote bor\u0022>引自：明明&nbsp;&nbsp;于&nbsp;2016-11-06&nbsp;13:06:19&nbsp;发表的留言\u003Cbr  \/>引用内容：\u003Cbr  \/>\u003Cbr  \/>留言板已经成了不再敢写东西的地方，因为留言也不知道从哪里开始删起，更不知道下一条留言要从哪里开始写起。\u003C\/div>,0,,,98d595840840a201,2016/11/9 0:00,0,376976240,骑行小蜗游,1000050236
留言板已经成了不再敢写东西的地方，因为留言也不知道从哪里开始删起，更不知道下一条留言要从哪里开始写起。,5871,,784,0,,0,,留言板已经成了不再敢写东西的地方，因为留言也不知道从哪里开始删起，更不知道下一条留言要从哪里开始写起。,4194304,,,188095a10002e101,2016/11/6 13:06,0,371312563,明明,1000050235
旅行的意义，在于能够拉上个合适的人，哪怕是遇上一个合适的人。,5812,1495350786,783,0,,0,,旅行的意义，在于能够拉上个合适的人，哪怕是遇上一个合适的人。,4194336,去哪里并不重要，关键是和谁去经历，去回忆。希望能够带上我的小尾巴，去感受这个世界~~,明明,188095a10002e101,2016/8/8 1:09,0,371312563,明明,1000050234
言论自由，思想自由，无关乎我党，根植于内心。,5929,,782,0,,0,,言论自由，思想自由，无关乎我党，根植于内心。,4194304,,,188095a10002e101,2016/6/15 18:47,0,371312563,明明,1000050233
