nickname,ubbContent,capacity,time,pubtime,floor,type,pasterid,secret,signature,htmlContent,effect,content,nick,bmp,modifytime,uin,id
唯心,时间飞逝，不忍回头,5955,,2016/10/9 14:50,1311,0,,0,,时间飞逝，不忍回头,0,,,18d495800202c101,0,1290912938,1000050313
Ymm,同意同意，十月中旬你说咱们见吗？哈哈 报了没？,5872,1475991996,2016/10/9 13:32,1310,0,,0,,同意同意，十月中旬你说咱们见吗？哈哈&nbsp;报了没？,4194336,哈哈，我没有报，不过最近我天天都在家,梁斯斯,58c4952000008001,0,765238191,1000050312
简简单单,跛娃,5969,,2016/10/9 13:07,1309,0,,0,,跛娃,4194304,,,18d095a001028101,0,540686659,1000050311
梁斯斯,心中有一万头草泥马在奔跑,5949,,2015/10/5 22:02,1308,0,,0,,心中有一万头草泥马在奔跑,4194304,,,48d015a00000c001,0,1007645150,1000050310
Fearless。,我也好无聊 怎么办,5956,,2015/8/24 9:40,1307,0,,0,,我也好无聊&nbsp;怎么办,4194304,,, 8d495a40102c101,0,295765289,1000050309
Fearless。,为什么我这里显示你今天生日？ [em]e328563[\/em],5928,,2015/8/24 9:32,1306,0,,0,,为什么我这里显示你今天生日？&nbsp;\u003Cimg src=\u0022\/qzone\/em\/e328563.gif\u0022  \/>\u003Cwbr  \/>,4194304,,, 8d495a40102c101,0,295765289,1000050308
Ymm,昨天你不会是上了一天班然后回家洗澡睡觉吧,5933,,2015/8/21 8:57,1305,0,,0,,昨天你不会是上了一天班然后回家洗澡睡觉吧,4194304,,,58c4952000008001,0,765238191,1000050307
Ymm,下个月可能就会劳动了？,5951,,2015/8/21 8:56,1304,0,,0,,下个月可能就会劳动了？,4194304,,,58c4952000008001,0,765238191,1000050306
Ymm,目前还没有这个月不出意外应该就是了,5939,,2015/8/21 8:55,1303,0,,0,,目前还没有这个月不出意外应该就是了,4194304,,,58c4952000008001,0,765238191,1000050305
Ymm,[em]e102[\/em],5960,,2015/8/21 8:54,1302,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e102.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,58c4952000008001,0,765238191,1000050304
泥腿子,想起以前的同学的,5846,1436626010,2015/7/11 22:44,1301,0,,0,,想起以前的同学的,4194336,是的，我也想起好多巴多，可是没一个交情特别深的咯,泥腿子,58d485a00000c201,0,595232682,1000050303
温暖如初,斯斯 斯斯  斯斯斯斯,5954,,2015/6/4 21:31,1300,0,,0,,斯斯&nbsp;斯斯&nbsp;&nbsp;斯斯斯斯,0,,,18d195800000c101,0,694118107,1000050302
温暖如初,以前在学校时  经常 来  现在都没怎么来了  哎,5930,,2015/6/4 21:31,1299,0,,0,,以前在学校时&nbsp;&nbsp;经常&nbsp;来&nbsp;&nbsp;现在都没怎么来了&nbsp;&nbsp;哎,0,,,18d195800000c101,0,694118107,1000050301
